,TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT,PRE_COVID_DIP,BOTTOM_COVID_DIP,EOY_2021,CURRENT_PRICE,COVID_BOTTOM_TO_2021_TOP,COVID_BOTTOM_TO_2021_TOP_PERCENT,CURRENT_FROM_COVID_BOTTOM_PRICE,CURRENT_FROM_PRE_COVID_PRICE,VALUE_LEFT_TO_DECREASE,VALUE_LEFT_TO_DECREASE_PERCENT
2972,ENLC.US,D,2020-02-14,000000,3.6994,3.7397,3.5056,3.6187,5301475,0,3.6187,0.9288,6.7163,8.82,5.7875000000000005,6.231158484065461,7.8912,5.2013,7.8912,849.6124031007753
3984,GTLS.US,D,2020-02-14,000000,69.84,74.325,68.03,73.56,1311579,0,73.56,16.64,159.49,157.56,142.85000000000002,8.584735576923078,140.92000000000002,84.0,140.92000000000002,846.875
5024,LAC.US,D,2020-02-14,000000,5.7,5.7,5.13,5.43,1349693,0,5.43,2.14,29.12,20.12,26.98,12.607476635514018,17.98,14.690000000000001,17.98,840.1869158878504
8960,VET.US,D,2020-02-14,000000,13.578,13.626,13.35,13.426,915233,0,13.426,2.0912,12.562,19.42,10.470799999999999,5.007077276205049,17.3288,5.9940000000000015,17.3288,828.6534047436879
2104,CPE.US,D,2020-02-14,000000,29.5,29.5,28.1,28.8,909179,0,28.8,4.4,47.25,39.27,42.85,9.738636363636363,34.870000000000005,10.470000000000002,34.870000000000005,792.5000000000001
6020,NIO.US,D,2020-02-14,000000,4.03,4.035,3.75,3.77,69655607,0,3.77,2.4,31.68,21.36,29.28,12.200000000000001,18.96,17.59,18.96,790.0
8532,TRGP.US,D,2020-02-14,000000,35.295,35.525,34.969,35.401,1700330,0,35.401,7.0054,51.681,61.0,44.675599999999996,6.377308933108744,53.9946,25.598999999999997,53.9946,770.7568447197876
476,AMPY.US,D,2020-02-14,000000,5.2342,5.2432,4.9389,4.9568,153911,0,4.9568,0.761,3.11,6.46,2.3489999999999998,3.086727989487516,5.699,1.5031999999999996,5.699,748.8830486202364
5168,LPI.US,D,2020-02-14,000000,31.2,31.8,29.6,30,197078,0,30.0,8.158,60.13,68.89,51.972,6.3706790880117685,60.732,38.89,60.732,744.4471684236332
960,BBW.US,D,2020-02-14,000000,4.1811,4.2,4.0399,4.0681,150953,0,4.0681,1.8928,19.52,15.94,17.6272,9.312764158918004,14.0472,11.8719,14.0472,742.1386306001691
2404,DCP.US,D,2020-02-14,000000,16.938,16.948,16.507,16.839,863996,0,16.839,3.5338,26.826,29.7,23.2922,6.5912615314958405,26.1662,12.861,26.1662,740.4550342407607
7408,RRC.US,D,2020-02-14,000000,3.1199,3.315,3.02,3.09,8943144,0,3.09,3.05,17.83,25.38,14.779999999999998,4.8459016393442615,22.33,22.29,22.33,732.1311475409835
